p,d,q,AIC
0,0,0,22095.0434523265
0,0,1,19528.35530065297
0,0,2,17505.564207410695
0,0,3,15996.550393187927
0,1,0,10251.20131558121
0,1,1,10243.982451366364
0,1,2,10241.620808764872
0,1,3,10235.595087170754
0,2,0,11701.149413724528
0,2,1,10255.394421707417
0,2,2,10248.149655564826
0,2,3,10246.242907838197
1,0,0,10265.753945002547
1,0,1,10258.694320018145
1,0,2,10256.424302321468
1,0,3,10250.294897366843
1,1,0,10245.006053195244
1,1,1,10244.507628641599
1,1,2,10238.268816163521
1,1,3,10227.863355347587
1,2,0,11140.859220611132
1,2,1,10249.162686758147
1,2,2,10254.740932477398
1,2,3,10243.229080316487
2,0,0,10259.695941086698
2,0,1,10265.07378741984
2,0,2,10253.979298742954
2,0,3,10242.239007330307
2,1,0,10239.654726512781
2,1,1,10238.603449340277
2,1,2,10240.486014227225
2,1,3,10229.860873931575
2,2,0,10795.830351464854
2,2,1,10244.096622562727
2,2,2,10242.747730718724
2,2,3,10246.13869688275
3,0,0,10254.45919634021
3,0,1,10253.72951814129
3,0,2,10255.326423099334
3,0,3,10239.722918182613
3,1,0,10237.166606852908
3,1,1,10229.678054262053
3,1,2,10230.490879038534
3,1,3,10230.14453641413
3,2,0,10643.48800398952
3,2,1,10241.31901044794
3,2,2,10244.656953389243
3,2,3,10243.264745790639
