loss,val_loss
0.1378869116306305,0.10729784518480301
0.027638083323836327,0.10321593284606934
0.01691977120935917,0.04676418751478195
0.013451799750328064,0.07136654853820801
0.009779326617717743,0.03996684029698372
0.008218049071729183,0.05441654101014137
0.006204168777912855,0.039822664111852646
0.006380343344062567,0.045656558126211166
0.005844457074999809,0.03833241015672684
0.005575640592724085,0.04031665623188019
0.0053160483948886395,0.04230549931526184
0.005103692412376404,0.039187926799058914
0.004979782737791538,0.031177952885627747
0.005232878495007753,0.028454001992940903
0.005365301389247179,0.027150677517056465
0.004660340026021004,0.026864346116781235
0.004594763275235891,0.02393459714949131
0.004739293362945318,0.025813115760684013
0.00461735250428319,0.020415499806404114
0.004404131788760424,0.019977467134594917
0.004511616658419371,0.020339179784059525
0.00428827665746212,0.0383354090154171
0.005153106991201639,0.02559935487806797
0.004254477098584175,0.023689165711402893
0.003698713146150112,0.023553183302283287
0.0038974611088633537,0.03148336708545685
0.004068886395543814,0.030813176184892654
0.004530133679509163,0.02153117209672928
0.0036455171648412943,0.030048957094550133
0.003918497357517481,0.03206289932131767
0.0039189537055790424,0.02485787309706211
0.004120925907045603,0.019111964851617813
0.0039006418082863092,0.03260357305407524
0.003949450794607401,0.025175657123327255
0.004078238271176815,0.03532879054546356
0.004148691426962614,0.03214934840798378
0.0036408747546374798,0.022953204810619354
0.0036077466793358326,0.023585138842463493
0.0036257440224289894,0.02665632590651512
0.0039335438050329685,0.028167758136987686
0.003966423217207193,0.0321919247508049
0.004548666067421436,0.030659278854727745
0.004780068062245846,0.02720547839999199
0.003992604091763496,0.03617697209119797
0.0043207998387515545,0.02481929026544094
0.0037694131024181843,0.03367702290415764
0.004263050388544798,0.020350588485598564
0.004345248453319073,0.0225656908005476
0.0043639978393912315,0.030671067535877228
0.0038502062670886517,0.013172588311135769
0.0035940944217145443,0.018158676102757454
0.003202067455276847,0.015139521099627018
0.003265515435487032,0.013285709545016289
0.003315565874800086,0.013273166492581367
0.0036248129326850176,0.015979865565896034
0.003308030776679516,0.02005782723426819
0.003363256575539708,0.013589427806437016
0.0035620108246803284,0.019031403586268425
0.0031811920925974846,0.014360153116285801
0.0027639230247586966,0.011015630327165127
0.0031272333581000566,0.012056964449584484
0.0027687654364854097,0.017962032929062843
0.0030134685803204775,0.021157145500183105
0.0029051799792796373,0.02250777930021286
0.003673381870612502,0.017545873299241066
0.0034999484196305275,0.02564244717359543
0.0032920290250331163,0.024750620126724243
0.0034388010390102863,0.026510726660490036
0.003940849099308252,0.01947690173983574
0.003208766458556056,0.014794647693634033
0.0032344202045351267,0.016526514664292336
0.0026879545766860247,0.015462731942534447
0.0029351525008678436,0.0156585443764925
0.003142760368064046,0.014741645194590092
0.003004436381161213,0.015540233813226223
0.0027435445226728916,0.014942065812647343
0.002723171841353178,0.019354617223143578
0.002719155279919505,0.011957380920648575
0.0027447803877294064,0.023952418938279152
0.002842540852725506,0.020783308893442154
0.0029694887343794107,0.024456221610307693
0.003262448124587536,0.01682421751320362
0.0030665795784443617,0.02617022767663002
0.0034397293347865343,0.011229553259909153
0.0024614010471850634,0.013267415575683117
