model,dataset,split,status,test_RMSE_mean,test_RMSE_std,test_MAE_mean,test_MAE_std,test_R2_mean,test_R2_std,train_RMSE_mean,train_RMSE_std,train_MAE_mean,train_MAE_std,train_R2_mean,train_R2_std
LSTM,with_outliers,70:30,OK,184.36550679490747,10.214873859905925,120.08380517710809,7.798509959867249,-0.07474449189439633,0.11932192519717687,2.0255543204677924,0.20862478163561238,1.4115388828763096,0.10406820727795187,0.9954542986066544,0.0009458569837728297
LSTM,with_outliers,80:20,OK,105.86772904894765,10.4260810450567,59.07733678530341,7.821953738957259,0.7006939244519357,0.057970040319540374,2.038390244701907,0.22096478106596082,1.5139197852635624,0.3035059612544889,0.9982575959196056,0.00039655671163361066
LSTM,with_outliers,85:15,OK,137.98845049985158,17.892452463678374,94.02726432585813,12.26515216761615,0.23899290390823383,0.1935807663539668,3.1882648881285975,0.8005428427606104,2.182247819906159,0.4394296811547941,0.9977573303522801,0.0011043446348510868
LSTM,without_outliers,70:30,OK,7.113689267315978,1.394102806837011,5.830569903055826,1.0077704086957406,-1.5746953560608543,1.006233388873464,3.323621810361975,1.1358696367994001,2.4745107860579223,1.015435336178427,0.9757299630096021,0.014290281484180316
LSTM,without_outliers,80:20,OK,15.776515576141511,3.2981901149874284,12.581428856482875,2.551168048945392,0.7032644329163459,0.1207564094066343,7.635882086493817,4.2359995466928,6.2880617144183315,3.9603638179220013,0.9501824883548803,0.0442587133061663
LSTM,without_outliers,85:15,OK,13.122126285014883,4.487259622184682,12.694115624061002,4.612379401566394,-9.302521812240178,6.7827560606945685,3.9324216649193753,0.8486281012660445,2.5512051495261816,0.5220361352681692,0.9956205180690498,0.0018073105553559796
LSTM,clean_train_full_test,70:30,OK,203.58892340517744,8.365247546864508,129.69120461097128,8.882155855344584,-0.3091069059694206,0.10570348756579388,2.3727936123489846,0.07920198116370754,1.578495194567098,0.07702687000498039,0.9883781092855972,0.0007730619755043244
LSTM,clean_train_full_test,80:20,OK,227.76225021338809,22.655451932596222,165.32450916029,18.539308835588205,-0.38554049089776365,0.27880553541856384,6.337912372548262,4.092120565019282,5.031926178751076,3.7331420604131162,0.9632749923795929,0.039717678746846896
LSTM,clean_train_full_test,85:15,OK,154.57913147523004,16.97125789996055,111.8956898026677,16.087715046440042,0.048584514150997536,0.20970207289266998,3.6690908623320317,0.8141389946956461,2.5073095806900425,0.5541886106791152,0.9961795793032875,0.0017127463137840066
