seed,train_RMSE,train_MAE,train_R2,val_RMSE,val_MAE,val_R2,test_RMSE,test_MAE,test_R2,epochs_trained
7,4.08139204208994,3.2501972361993405,0.9665289233949304,9.812369163958303,8.645053272373627,0.4978385078316725,8.837470720491355,7.1679101943969705,-2.8552211515039536,28
42,4.0450462982084066,2.9701187294489153,0.9671224044518453,9.340200773211278,8.258063704130663,0.5450034835236002,8.335126825811193,6.665646616617836,-2.4293968521487623,28
123,4.321143770225684,3.401363912797132,0.9624810662847546,7.271571899384302,6.44844236058115,0.7242266762463809,6.657661800771786,5.103363291422524,-1.1879469108069656,28
456,2.0404444125322,1.408117343925044,0.9916342941370777,2.961757063940927,2.3000311542030984,0.9542496401851199,5.917878800440457,5.1493568420410165,-0.7287231708438775,71
789,2.1300825287536416,1.342756707919179,0.9908831267794025,3.1290510061761547,2.284728235914218,0.9489352825426978,5.820308189065102,5.066572570800783,-0.6721886950007121,62
