mode,split,n_obs,arima_rmse,persist_rmse,dm_statistic,p_value,significant_5pct,better_model
with_outliers,70:30,722,10.763294726663025,10.797176295642911,-0.2567259021197422,0.7973903745378743,No,ARIMA
with_outliers,80:20,481,11.694753459990784,11.770695503468316,-0.5102368343317003,0.6098855495307585,No,ARIMA
with_outliers,85:15,361,13.046627006799218,13.193784955532896,-0.7176324890219907,0.47298391976729537,No,ARIMA
without_outliers,70:30,613,1.764811536208673,1.7804371965554933,-0.5890819413380612,0.5558063069050114,No,ARIMA
without_outliers,80:20,425,5.3126860473620905,5.265668068458216,1.1588215881082446,0.24652891595136284,No,Persistence
without_outliers,85:15,327,7.168689500568046,7.110522636993311,1.3136519687841426,0.18896335145333332,No,Persistence
clean_train_full_test,70:30,722,10.856373825727259,10.797176295642911,0.4861073019028019,0.6268910900853428,No,Persistence
clean_train_full_test,80:20,481,11.637944799245982,11.770695503468316,-0.6754386006059776,0.4993971481580952,No,ARIMA
clean_train_full_test,85:15,361,13.252724057445874,13.193784955532896,0.28112584455957246,0.7786138790871164,No,Persistence
