seed,train_RMSE,train_MAE,train_R2,val_RMSE,val_MAE,val_R2,test_RMSE,test_MAE,test_R2,epochs_trained
7,1.6013321456496459,1.0038578778073408,0.9992998692307815,4.024940242516233,3.164754140051336,0.991372588555605,6.861149229774878,6.536172954852768,-1.5756698146708996,240
42,1.7616866546999226,1.219827115190202,0.9991526288973663,3.7440233220350354,2.9991789604145316,0.9925348467584914,6.08787239998082,5.769228656475364,-1.0278113055730662,250
123,1.8355155689504359,1.2176355092997715,0.9990801172694422,4.540938101623061,3.6067597436123195,0.9890187241685013,4.447115402324594,3.900926091120797,-0.08206476810849561,176
456,2.102546800469776,1.5372228968546586,0.998792998906398,4.553568209634501,3.6157272505629905,0.9889575528516535,5.657754839204919,5.189192786583537,-0.751397426429985,175
789,2.2968321002206773,1.5011057803020387,0.998559627507287,5.481579635175675,4.345555464947809,0.9839980432559018,6.316867647095044,5.827655733548681,-1.183232625823769,122
