Date,Close,High,Low,Open,Volume
2015-01-02,5.03249979019165,5.070000171661377,4.952499866485596,5.03249979019165,11368000
2015-01-05,4.947500228881836,5.047500133514404,4.925000190734863,5.03249979019165,19795200
2015-01-06,4.797500133514404,4.960000038146973,4.792500019073486,4.954999923706055,19776400
2015-01-07,4.784999847412109,4.875,4.769999980926514,4.832499980926514,32180800
2015-01-08,4.965000152587891,4.994999885559082,4.837500095367432,4.840000152587891,28378000
2015-01-09,4.985000133514404,5.022500038146973,4.914999961853027,4.982500076293945,20954000
2015-01-12,4.922500133514404,5.0,4.877500057220459,4.997499942779541,19073200
2015-01-13,4.914999961853027,5.059999942779541,4.880000114440918,4.960000038146973,23672000
2015-01-14,4.934999942779541,4.949999809265137,4.849999904632568,4.862500190734863,15526000
2015-01-15,4.900000095367432,5.0,4.897500038146973,4.96999979019165,18893200
2015-01-16,4.989999771118164,4.994999885559082,4.877500057220459,4.892499923706055,18151200
2015-01-20,5.005000114440918,5.052499771118164,4.942500114440918,5.025000095367432,14030800
2015-01-21,5.074999809265137,5.087500095367432,4.942500114440918,4.977499961853027,14478000
2015-01-22,5.162499904632568,5.177499771118164,5.03249979019165,5.085000038146973,15971200
2015-01-23,5.177499771118164,5.1875,5.125,5.167500019073486,12041600
2015-01-26,5.15500020980835,5.179999828338623,5.122499942779541,5.15500020980835,13324000
2015-01-27,4.90749979019165,5.079999923706055,4.897500038146973,5.074999809265137,35794800
2015-01-28,4.827499866485596,4.987500190734863,4.824999809265137,4.96750020980835,27272800
2015-01-29,4.945000171661377,4.972499847412109,4.807499885559082,4.829999923706055,23534000
2015-01-30,4.800000190734863,4.96750020980835,4.792500019073486,4.909999847412109,29820000
2015-02-02,4.90500020980835,4.925000190734863,4.735000133514404,4.829999923706055,25960400
2015-02-03,5.027500152587891,5.03249979019165,4.914999961853027,4.940000057220459,18346800
2015-02-04,5.039999961853027,5.097499847412109,4.997499942779541,5.012499809265137,18151600
2015-02-05,5.122499942779541,5.125,5.039999961853027,5.045000076293945,14044800
2015-02-06,5.099999904632568,5.177499771118164,5.077499866485596,5.117499828338623,21052400
2015-02-09,5.09499979019165,5.110000133514404,5.037499904632568,5.070000171661377,27394400
2015-02-10,5.237500190734863,5.239999771118164,5.077499866485596,5.099999904632568,22620400
2015-02-11,5.202499866485596,5.25,5.167500019073486,5.25,32083200
2015-02-12,5.574999809265137,5.625,5.46750020980835,5.5,67690400
2015-02-13,5.577499866485596,5.585000038146973,5.477499961853027,5.5625,31008400
2015-02-17,5.59499979019165,5.622499942779541,5.53249979019165,5.567500114440918,20334000
2015-02-18,5.53000020980835,5.597499847412109,5.519999980926514,5.587500095367432,17094800
2015-02-19,5.545000076293945,5.610000133514404,5.519999980926514,5.599999904632568,16943200
2015-02-20,5.585000038146973,5.587500095367432,5.5,5.539999961853027,15775200
2015-02-23,5.539999961853027,5.582499980926514,5.512499809265137,5.582499980926514,12500800
2015-02-24,5.577499866485596,5.577499866485596,5.489999771118164,5.539999961853027,14935600
2015-02-25,5.534999847412109,5.579999923706055,5.510000228881836,5.554999828338623,12382000
2015-02-26,5.550000190734863,5.582499980926514,5.505000114440918,5.539999961853027,15286400
2015-02-27,5.514999866485596,5.547500133514404,5.494999885559082,5.534999847412109,15749200
2015-03-02,5.650000095367432,5.679999828338623,5.492499828338623,5.5,30151200
2015-03-03,5.545000076293945,5.635000228881836,5.527500152587891,5.607500076293945,16034400
2015-03-04,5.607500076293945,5.619999885559082,5.502500057220459,5.525000095367432,22684000
2015-03-05,5.715000152587891,5.724999904632568,5.59250020980835,5.607500076293945,32305600
2015-03-06,5.637499809265137,5.710000038146973,5.632500171661377,5.682499885559082,25739200
2015-03-09,5.652500152587891,5.695000171661377,5.627500057220459,5.639999866485596,22238800
2015-03-10,5.75,5.787499904632568,5.667500019073486,5.677499771118164,52721200
2015-03-11,5.71999979019165,5.824999809265137,5.704999923706055,5.75,26212000
2015-03-12,5.667500019073486,5.707499980926514,5.559999942779541,5.664999961853027,40697200
2015-03-13,5.675000190734863,5.690000057220459,5.5625,5.639999866485596,35928800
2015-03-16,5.742499828338623,5.777500152587891,5.682499885559082,5.71999979019165,23695600
2015-03-17,5.8125,5.815000057220459,5.690000057220459,5.730000019073486,29990000
2015-03-18,5.71750020980835,5.84250020980835,5.664999961853027,5.8125,41384400
2015-03-19,5.804999828338623,5.824999809265137,5.695000171661377,5.737500190734863,31075600
2015-03-20,5.867499828338623,5.902500152587891,5.797500133514404,5.852499961853027,46208400
2015-03-23,5.677499771118164,5.767499923706055,5.675000190734863,5.692500114440918,42601200
2015-03-24,5.599999904632568,5.699999809265137,5.574999809265137,5.659999847412109,33048000
2015-03-25,5.260000228881836,5.597499847412109,5.242499828338623,5.597499847412109,54255200
2015-03-26,5.242499828338623,5.264999866485596,5.114999771118164,5.152500152587891,31192000
2015-03-27,5.34499979019165,5.364999771118164,5.1875,5.272500038146973,31828800
2015-03-30,5.367499828338623,5.394999980926514,5.300000190734863,5.369999885559082,25325200
2015-03-31,5.232500076293945,5.357500076293945,5.227499961853027,5.352499961853027,35727600
2015-04-01,5.252500057220459,5.269999980926514,5.162499904632568,5.252500057220459,33076800
2015-04-02,5.264999866485596,5.297500133514404,5.21999979019165,5.28249979019165,19220400
2015-04-06,5.417500019073486,5.434999942779541,5.1875,5.242499828338623,51586400
2015-04-07,5.465000152587891,5.525000095367432,5.387499809265137,5.417500019073486,41396400
2015-04-08,5.505000114440918,5.525000095367432,5.417500019073486,5.46999979019165,36643200
2015-04-09,5.632500171661377,5.650000095367432,5.460000038146973,5.462500095367432,37943200
2015-04-10,5.690000057220459,5.692500114440918,5.617499828338623,5.637499809265137,25872800
2015-04-13,5.637499809265137,5.710000038146973,5.612500190734863,5.677499771118164,23672400
2015-04-14,5.590000152587891,5.637499809265137,5.534999847412109,5.614999771118164,22027600
2015-04-15,5.65749979019165,5.699999809265137,5.577499866485596,5.605000019073486,24356000
2015-04-16,5.622499942779541,5.672500133514404,5.582499980926514,5.625,15528400
2015-04-17,5.550000190734863,5.605000019073486,5.502500057220459,5.505000114440918,29363600
2015-04-20,5.522500038146973,5.610000133514404,5.512499809265137,5.574999809265137,23162400
2015-04-21,5.514999866485596,5.590000152587891,5.487500190734863,5.590000152587891,23045600
2015-04-22,5.577499866485596,5.585000038146973,5.462500095367432,5.547500133514404,20742000
2015-04-23,5.554999828338623,5.607500076293945,5.412499904632568,5.474999904632568,25938000
2015-04-24,5.507500171661377,5.554999828338623,5.445000171661377,5.552499771118164,24096000
2015-04-27,5.550000190734863,5.647500038146973,5.477499961853027,5.525000095367432,24845600
2015-04-28,5.577499866485596,5.597499847412109,5.487500190734863,5.539999961853027,23448400
2015-04-29,5.534999847412109,5.59250020980835,5.512499809265137,5.537499904632568,19515600
2015-04-30,5.550000190734863,5.577499866485596,5.494999885559082,5.507500171661377,21884400
2015-05-01,5.6875,5.704999923706055,5.570000171661377,5.59499979019165,25696800
2015-05-04,5.652500152587891,5.71999979019165,5.635000228881836,5.682499885559082,20072000
2015-05-05,5.507500171661377,5.639999866485596,5.482500076293945,5.632500171661377,29292800
2015-05-06,5.525000095367432,5.590000152587891,5.452499866485596,5.537499904632568,31648400
2015-05-07,5.622499942779541,5.639999866485596,5.485000133514404,5.502500057220459,53456400
2015-05-08,5.207499980926514,5.460000038146973,5.122499942779541,5.252500057220459,114655200
2015-05-11,5.15749979019165,5.210000038146973,5.09499979019165,5.135000228881836,54414400
2015-05-12,5.207499980926514,5.25,5.117499828338623,5.119999885559082,38880000
2015-05-13,5.237500190734863,5.284999847412109,5.1875,5.244999885559082,30852400
2015-05-14,5.322500228881836,5.349999904632568,5.239999771118164,5.252500057220459,29305200
2015-05-15,5.324999809265137,5.369999885559082,5.292500019073486,5.34499979019165,21582400
2015-05-18,5.317500114440918,5.349999904632568,5.287499904632568,5.3125,32497200
2015-05-19,5.260000228881836,5.317500114440918,5.25,5.300000190734863,25380800
2015-05-20,5.260000228881836,5.324999809265137,5.255000114440918,5.262499809265137,19682400
2015-05-21,5.222499847412109,5.284999847412109,5.21750020980835,5.262499809265137,23969200
2015-05-22,5.215000152587891,5.255000114440918,5.202499866485596,5.235000133514404,21259200
2015-05-26,5.182499885559082,5.224999904632568,5.142499923706055,5.190000057220459,25973200
2015-05-27,5.460000038146973,5.485000133514404,5.199999809265137,5.21750020980835,43233200
2015-05-28,5.534999847412109,5.552499771118164,5.449999809265137,5.460000038146973,32765600
2015-05-29,5.53249979019165,5.570000171661377,5.525000095367432,5.534999847412109,33516800
2015-06-01,5.59499979019165,5.650000095367432,5.53249979019165,5.567500114440918,37266000
