model,method,dataset,split,test_MSE,test_RMSE,test_MAE,test_R2
LR,legacy_random_split,with_outliers,70:30,9139.870367088297,95.6026692466706,64.31075226412395,0.6255118429672776
LR,legacy_random_split,with_outliers,80:20,8464.624273965257,92.00339273073172,62.78939219850746,0.6428151505385233
LR,legacy_random_split,with_outliers,85:15,9667.533450533616,98.32361593500117,64.7318465620685,0.6221223539768257
LR,legacy_random_split,without_outliers,70:30,1486.534956964878,38.55560863175263,26.908107665473665,0.7734495325446346
LR,legacy_random_split,without_outliers,80:20,1466.4544875639797,38.294314036994834,26.900789285345212,0.7737111832629181
LR,legacy_random_split,without_outliers,85:15,1394.9611090090589,37.34917815707675,26.47410497663562,0.7775130828434169
